id,name,unit
12,fresh spinach leaves,grams
14,fresh onion,piece
16,shallot,piece
17,leek,stalk of
18,scallion,piece
19,fresh garlic,clove of
20,garlic powder,teaspoon of
21,cauliflower,head of
22,broccoli,head of
33,capers,grams
35,avocados,piece
37,cucumber,piece
40,fresh red chili pepper,piece
41,fresh tomato,piece
43,canned tomatoes,grams
49,canned black beans,grams
61,canned chickpeas,grams
66,celery,stalk of
68,potatoes,grams
71,kohlrabis,grams
73,carrots,grams
81,sweet potatoes,grams
83,fresh white champignons,grams
114,apple,small
134,strawberries,grams
138,blueberries,grams
150,almonds,grams
156,lime,piece
158,lemon,piece
160,orange,piece
175,pomegranate,piece
182,mango,piece
189,whole chicken,piece
190,chicken breasts,grams
221,pork belly,kilogram
241,minced beef,grams
266,lamb chops,grams
269,lamb fillets,grams
272,minced lamb,grams
459,basmati rice,grams
485,quinoa,grams
523,whole cow's milk,milliliters
541,crème fraîche,milliliters
542,yoghurt,grams
546,whipping cream,milliliters
564,grated mountain cheese,grams
576,grated cheddar,tablespoons of
584,grated parmesan,grams
591,butter,grams
593,ghee,tablespoon of
600,coconut oil,tablespoon of
608,olive oil,milliliters
611,sesame oil,tablespoon of
612,sunflower oil,tablespoon of
613,soy oil,tablespoon of
623,sesame seeds,tablespoon of
625,pine nuts,grams
634,chicken eggs,piece
640,fresh basil,sprig of
649,fresh coriander,grams
655,fresh mint,grams
657,fresh flat-leaf parsley,bunch of
659,fresh sage,leaves of
670,fresh ginger,centimeters
680,cumin seeds,teaspoon of
682,chili pepper flakes,teaspoon of
706,dried basil,tablespoon of
719,dried bay leaf,piece
722,dried oregano,tablespoon of
724,dried rosemary,teaspoon of
726,dried thyme,teaspoon of
727,yellow curry powder,teaspoon of
728,garam masala,teaspoon of
731,ground ginger,teaspoon of
732,curcuma powder,teaspoon of
733,ground nutmeg,teaspoon of
735,ground cinnamon,teaspoon of
736,ground coriander,teaspoon of
739,cumin powder,teaspoon of
740,ground black pepper,teaspoon of
741,ground cardamom,teaspoon of
754,red curry paste,tablespoon of
757,tomato paste,tablespoon of
761,mayonnaise,grams
765,dijon mustard,tablespoon of
768,white cooking wine,deciliter
771,beer,milimeters
774,soy sauce,milliliters
775,fish sauce,tablespoon of
776,balsamic vinegar,milliliters
777,apple vinegar,tablespoon of
778,vegetable stock,liter
779,chicken stock,milliliters
783,lemon juice,milliliters
785,coconut cream,milliliters
789,white sugar,grams
790,honey,tablespoon of
792,pomegranate molasses,milliliters
794,salt,teaspoon of
799,pearl onions,grams
800,red onion,piece
802,feta,grams
803,green pepper,piece
804,yellow pepper,piece
805,red pepper,piece
806,salted butter,tablespoon of
807,raisins,grams
843,fresh lemongrass,stalk of
849,precooked beetroot,piece
853,green olives,grams
855,breadcrumbs,grams
859,plain curd,grams
860,frozen peas,grams
864,sushi grade flounder filets,grams
865,walnut halves,grams
873,fresh green chili pepper,piece
877,dark chocolate,grams
878,condensed milk,grams
879,chocolate sprinkles,grams
880,fresh green beans,grams
881,ginger paste,teaspoon of
882,garlic paste,teaspoon of
883,paprika powder,teaspoon of
889,tahini,grams
891,ice cubes,grams
900,white wine vinegar,teaspoon of
901,cheese slice,piece
919,peas,grams
994,penne,grams
999,spaghetti,grams
1020,basil,gram
1067,bacon,slices of
1088,milk,milliliters
1104,onion,piece
1136,cherry tomatoes,grams
1140,pork roast,kilogram
1144,dried red peppers,grams
1145,tomato sauce,grams
1146,Kashmiri chili powder,teaspoon of
1149,bulgur,grams